correlationId (S),adjustType (N),accountId (S),attempts (L),createdDate (S),issuerId (S),value (N),successAdjust (M)
965486ee-6fdc-4472-ac12-123456,1832,123456,"[{'createdDate': '2022-04-14 18:48:10', 'payload': {'message': 'Forbidden'}, 'statusCode': 403}, {'createdDate': '2022-04-14 18:51:09', 'payload': {'message': 'Forbidden'}, 'statusCode': 403}]",2022-04-14 18:48:10,103,20.5,
965486ee-6fdc-4472-ac12-ascascasc,1832,123456,"[{'createdDate': '2022-04-14 18:40:17', 'payload': {'code': 404, 'exception': 'NotFoundExceptionPIER', 'message': 'Tipo ajuste não cadastrado', 'path': '/v2/api/ajustes-financeiros', 'timestamp': '2022-04-14T18:40:16.504Z'}, 'statusCode': 404}]",2022-04-14 18:40:17,103,10.5,
c3e970c1-5ce3-402f-b244-9bdc7f172710,1365,123456,"[{'createdDate': '2022-04-14 16:31:31', 'payload': {'dataAjuste': '2022-04-14T16:31:31.276Z', 'id': 3930536, 'idConta': 123456, 'identificadorExterno': 'c3e970c1-5ce3-402f-b244-9bdc7f172710', 'idTipoAjuste': 1365, 'status': 200, 'valor': '19.5'}, 'statusCode': 200}]",2022-04-14 16:31:31,103,19.5,"{'createdDate': '2022-04-14 16:31:31', 'payload': {'dataAjuste': '2022-04-14T16:31:31.276Z', 'id': 3930536, 'idConta': 123456, 'identificadorExterno': 'c3e970c1-5ce3-402f-b244-9bdc7f172710', 'idTipoAjuste': 1365, 'status': 200, 'valor': '19.5'}, 'statusCode': 200}"
c3e970c1-5ce3-402f-b244-9bdc7f172710,1368,123456,"[{'createdDate': '2022-04-14 16:31:33', 'payload': {'dataAjuste': '2022-04-14T16:31:33.169Z', 'id': 4723047604, 'idConta': 123456, 'identificadorExterno': 'c3e970c1-5ce3-402f-b244-9bdc7f172710', 'idTipoAjuste': 1368, 'status': 200, 'valor': '19.5'}, 'statusCode': 200}]",2022-04-14 16:31:33,103,19.5,"{'createdDate': '2022-04-14 16:31:33', 'payload': {'dataAjuste': '2022-04-14T16:31:33.169Z', 'id': 4723047604, 'idConta': 123456, 'identificadorExterno': 'c3e970c1-5ce3-402f-b244-9bdc7f172710', 'idTipoAjuste': 1368, 'status': 200, 'valor': '19.5'}, 'statusCode': 200}"
c3e970c1-5ce3-402f-b244-9bdc7f172710,1832,123456,"[{'createdDate': '2022-04-25 16:57:12', 'payload': {'dataAjuste': '2022-04-25T16:57:12.384Z', 'id': 3954624, 'idConta': 123456, 'identificadorExterno': 'c3e970c1-5ce3-402f-b244-9bdc7f172710', 'idTipoAjuste': 1832, 'status': 200, 'valor': 19.5}, 'statusCode': 200}]",2022-04-25 16:57:12,103,19.5,"{'createdDate': '2022-04-25 16:57:12', 'payload': {'dataAjuste': '2022-04-25T16:57:12.384Z', 'id': 3954624, 'idConta': 123456, 'identificadorExterno': 'c3e970c1-5ce3-402f-b244-9bdc7f172710', 'idTipoAjuste': 1832, 'status': 200, 'valor': 19.5}, 'statusCode': 200}"
c3e970c1-5ce3-402f-b244-9bdc7f172710,1833,123456,"[{'createdDate': '2022-04-25 16:57:14', 'payload': {'dataAjuste': '2022-04-25T16:57:14.326Z', 'id': 5000173393, 'idConta': 123456, 'identificadorExterno': 'c3e970c1-5ce3-402f-b244-9bdc7f172710', 'idTipoAjuste': 1833, 'status': 200, 'valor': 19.5}, 'statusCode': 200}]",2022-04-25 16:57:14,103,19.5,"{'createdDate': '2022-04-25 16:57:14', 'payload': {'dataAjuste': '2022-04-25T16:57:14.326Z', 'id': 5000173393, 'idConta': 123456, 'identificadorExterno': 'c3e970c1-5ce3-402f-b244-9bdc7f172710', 'idTipoAjuste': 1833, 'status': 200, 'valor': 19.5}, 'statusCode': 200}"
c3e970c1-5ce3-402f-b244-9bdc7f172723,1364,123456,"[{'createdDate': '2022-04-05 16:35:44', 'payload': {'message': 'Forbidden'}, 'statusCode': 403}]",2022-04-05 16:37:21,103,19.5,
c3e970c1-5ce3-402f-b244-9bdc7f172723,1365,123456,"[{'createdDate': '2022-03-28 11:56:31', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-28 11:57:47', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-28 12:05:09', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-28 12:06:27', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-28 16:04:03', 'payload': '', 'statusCode': 500}, {'createdDate': '2022-03-28 16:12:09', 'payload': '', 'statusCode': 500}, {'createdDate': '2022-03-28 16:13:28', 'payload': '', 'statusCode': 500}, {'createdDate': '2022-03-28 16:36:32', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-28 16:37:51', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-29 18:36:10', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-29 18:37:28', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-30 10:20:05', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-30 10:21:25', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-30 11:09:31', 'payload': 'Internal Server Error', 'statusCode': 500}]",2022-03-28 11:56:31,103,19.5,{'status': True}
c3e970c1-5ce3-402f-b244-9bdc7f172723,1367,123456,"[{'createdDate': '2022-03-28 11:56:31', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-28 11:57:47', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-28 12:05:09', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-28 12:06:27', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-28 16:04:03', 'payload': '', 'statusCode': 500}, {'createdDate': '2022-03-28 16:12:09', 'payload': '', 'statusCode': 500}, {'createdDate': '2022-03-28 16:13:28', 'payload': '', 'statusCode': 500}, {'createdDate': '2022-03-28 16:36:32', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-28 16:37:51', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-29 18:36:10', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-29 18:37:28', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-30 10:20:05', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-30 10:21:25', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-30 11:09:31', 'payload': 'Internal Server Error', 'statusCode': 500}]",2022-03-28 11:56:31,103,19.5,
c3e970c1-5ce3-402f-b244-9bdc7f172723,1368,123456,"[{'createdDate': '2022-03-28 11:56:31', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-28 11:57:47', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-28 12:05:09', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-28 12:06:27', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-28 16:04:03', 'payload': '', 'statusCode': 500}, {'createdDate': '2022-03-28 16:12:09', 'payload': '', 'statusCode': 500}, {'createdDate': '2022-03-28 16:13:28', 'payload': '', 'statusCode': 500}, {'createdDate': '2022-03-28 16:36:32', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-28 16:37:51', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-29 18:36:10', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-29 18:37:28', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-30 10:20:05', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-30 10:21:25', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-30 11:09:31', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-04-05 16:28:59', 'payload': {'message': 'Forbidden'}, 'statusCode': 403}]",2022-03-28 11:56:31,103,19.5,
c3e970c1-5ce3-402f-b244-9bdc7f172723,1369,123456,"[{'createdDate': '2022-03-28 11:56:31', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-28 11:57:47', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-28 12:05:09', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-28 12:06:27', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-28 16:04:03', 'payload': '', 'statusCode': 500}, {'createdDate': '2022-03-28 16:12:09', 'payload': '', 'statusCode': 500}, {'createdDate': '2022-03-28 16:13:28', 'payload': '', 'statusCode': 500}, {'createdDate': '2022-03-28 16:36:32', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-28 16:37:51', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-29 18:36:10', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-29 18:37:28', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-30 10:20:05', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-30 10:21:25', 'payload': 'Internal Server Error', 'statusCode': 500}, {'createdDate': '2022-03-30 11:09:31', 'payload': 'Internal Server Error', 'statusCode': 500}]",2022-03-28 11:56:31,103,19.5,
